    2       1.419845181181e-10       8.121100519770e-09       4.769086998737e-10 
    3       1.335021504424e-10       4.971188879432e-09       3.358855676035e-10 
    4       1.257601536828e-10       3.442400410611e-09       2.531511612497e-10 
    5       1.200355283462e-10       2.561400303505e-09       1.992650489851e-10 
    6       1.161068829963e-10       1.995462114430e-09       1.617147106895e-10 
    7       1.135770905583e-10       1.605773869261e-09       1.342576461846e-10 
    8       1.120388588338e-10       1.324050772160e-09       1.134676097629e-10 
    9       1.112916081320e-10       1.112790360990e-09       9.735671395018e-11 
   10       1.111162308900e-10       9.496333830312e-10       8.462849521005e-11 
   11       1.113419336062e-10       8.132623411670e-10       7.509081671562e-11 
   12       1.119433399324e-10       7.104961880158e-10       6.638496043903e-11 
   13       1.127729774922e-10       6.261274941835e-10       5.923478199364e-11 
   14       1.137895900525e-10       5.559318195804e-10       5.303470231184e-11 
   15       1.150244428837e-10       4.968490582675e-10       4.784441809724e-11 
   16       1.163827306231e-10       4.466152814989e-10       4.339720804958e-11 
   17       1.178594128328e-10       4.035236146115e-10       3.952547268950e-11 
   18       1.194344285651e-10       3.661279535718e-10       3.609014842034e-11 
   19       1.211148652471e-10       3.338223432319e-10       3.307547056016e-11 
   20       1.228651053702e-10       3.053741265972e-10       3.043485345156e-11 
   21       1.246838953554e-10       2.803345812616e-10       2.811882952337e-11 
   22       1.265528664827e-10       2.580995897010e-10       2.604087271739e-11 
   23       1.284887913435e-10       2.383706299504e-10       2.418512994203e-11 
   24       1.304949607728e-10       2.206964723731e-10       2.253023560503e-11 
   25       1.325570908823e-10       2.048366738652e-10       2.103311423523e-11 
   26       1.346438817620e-10       1.904801510456e-10       1.963538447180e-11 
   27       1.367682683237e-10       1.775519767812e-10       1.834461287697e-11 
   28       1.389433754695e-10       1.658950106126e-10       1.718068737807e-11 
   29       1.411677635396e-10       1.552256418487e-10       1.614993920898e-11 
   30       1.434424813943e-10       1.454846850827e-10       1.523570307207e-11 
   31       1.457568842878e-10       1.365995012999e-10       1.440093594972e-11 
   32       1.480909448888e-10       1.284291340468e-10       1.360303192585e-11 
   33       1.504461627008e-10       1.209288273134e-10       1.284400468825e-11 
   34       1.528236667060e-10       1.140319139393e-10       1.213758702934e-11 
   35       1.552198199224e-10       1.076354611633e-10       1.149372396049e-11 
   36       1.576427508596e-10       1.017226987226e-10       1.091106853823e-11 
   37       1.601001335494e-10       9.627494857203e-11       1.038118674102e-11 
   38       1.625939420531e-10       9.123461697398e-11       9.889921982554e-12 
   39       1.651219024372e-10       8.652592481927e-11       9.421796682125e-12 
   40       1.676840960297e-10       8.213433080904e-11       8.976210154643e-12 
   41       1.702774708666e-10       7.804818250989e-11       8.555946522686e-12 
   42       1.728933945851e-10       7.423502117311e-11       8.162647476860e-12 
   43       1.755218340323e-10       7.065355643946e-11       7.796782316648e-12 
   44       1.781666848113e-10       6.729819209441e-11       7.457822489171e-12 
   45       1.808343439577e-10       6.416543800578e-11       7.143925387629e-12 
   46       1.835292090927e-10       6.124054316851e-11       6.851745186325e-12 
   47       1.862534556939e-10       5.849661825675e-11       6.576322139462e-12 
   48       1.890075868087e-10       5.590289652696e-11       6.312503852250e-12 
   49       1.917927851329e-10       5.345431754032e-11       6.059941154059e-12 
   50       1.946088412809e-10       5.114877517535e-11       5.819310303646e-12 
   51       1.974532604242e-10       4.897830628855e-11       5.590872233756e-12 
   52       2.003210789724e-10       4.692867950878e-11       5.374440011783e-12 
   53       2.032071237727e-10       4.498385260744e-11       5.169558994800e-12 
   54       2.061138937083e-10       4.314163677834e-11       4.976176583010e-12 
   55       2.090453852985e-10       4.140134364303e-11       4.794087977174e-12 
   56       2.120047484938e-10       3.975906683579e-11       4.622715469386e-12 
   57       2.149942057688e-10       3.820747493128e-11       4.461084821722e-12 
   58       2.180149712157e-10       3.673560437214e-11       4.307801644901e-12 
   59       2.210675267255e-10       3.533187054982e-11       4.161421874781e-12 
   60       2.241527091856e-10       3.399438791123e-11       4.021717318555e-12 
   61       2.272707332189e-10       3.272268477647e-11       3.888662781011e-12 
   62       2.304207888971e-10       3.151459992855e-11       3.762057755115e-12 
   63       2.336009729375e-10       3.036618463098e-11       3.641516159925e-12 
   64       2.368082199018e-10       2.927160464532e-11       3.526456078483e-12 
   65       2.400395538727e-10       2.822474563041e-11       3.416261584362e-12 
   66       2.432963061330e-10       2.722464459875e-11       3.310831105749e-12 
   67       2.465806703671e-10       2.627103699474e-11       3.210127194083e-12 
   68       2.498944297282e-10       2.536270541878e-11       3.114009336380e-12 
   69       2.532389249731e-10       2.449742929186e-11       3.022228506802e-12 
   70       2.566150225955e-10       2.367193452016e-11       2.934421718229e-12 
   71       2.600230829610e-10       2.288184315968e-11       2.850106573831e-12 
   72       2.634632564238e-10       2.212279682108e-11       2.768808226874e-12 
   73       2.669365082960e-10       2.139418838633e-11       2.690480581032e-12 
   74       2.704437339508e-10       2.069605896597e-11       2.615156469718e-12 
   75       2.739854243084e-10       2.002796448911e-11       2.542820027300e-12 
   76       2.775616414583e-10       1.938895216569e-11       2.473404263694e-12 
   77       2.811719942816e-10       1.877753694889e-11       2.406788638953e-12 
   78       2.848156140736e-10       1.819167799737e-11       2.342796637857e-12 
   79       2.884911301658e-10       1.762875513767e-11       2.281193344503e-12 
   80       2.921972118214e-10       1.708621801848e-11       2.221746654649e-12 
   81       2.959343559314e-10       1.656371518744e-11       2.164428491117e-12 
   82       2.997033667319e-10       1.606129352534e-11       2.109244268647e-12 
   83       3.035048034300e-10       1.557874748554e-11       2.056171132179e-12 
   84       3.073389663122e-10       1.511560801346e-11       2.005156709918e-12 
   85       3.112058828533e-10       1.467113146623e-11       1.956117866404e-12 
   86       3.151052938255e-10       1.424428853226e-11       1.908939455574e-12 
   87       3.190366394072e-10       1.383375315078e-11       1.863473073837e-12 
   88       3.229990452916e-10       1.343789143151e-11       1.819535813131e-12 
   89       3.269916569143e-10       1.305514979709e-11       1.776954469610e-12 
   90       3.310147324995e-10       1.268531334185e-11       1.735708835319e-12 
   91       3.350686966817e-10       1.232842537228e-11       1.695808691528e-12 
   92       3.391537990962e-10       1.198440072809e-11       1.657249796068e-12 
   93       3.432701057038e-10       1.165302068269e-11       1.620013317386e-12 
   94       3.474174901144e-10       1.133392784362e-11       1.584065268592e-12 
   95       3.515956249113e-10       1.102662105303e-11       1.549355941511e-12 
   96       3.558039729756e-10       1.073045028810e-11       1.515819340733e-12 
   97       3.600417788097e-10       1.044461156153e-11       1.483372617660e-12 
   98       3.643080598621e-10       1.016814182195e-11       1.451915504561e-12 
   99       3.686018503201e-10       9.900139098968e-12       1.421353813912e-12 
  100       3.729229906435e-10       9.640469540445e-12       1.391674957667e-12 
  101       3.772714342645e-10       9.389151513397e-12       1.362882123040e-12 
  102       3.816469995513e-10       9.146136954423e-12       1.334970890712e-12 
  103       3.860493641921e-10       8.911309000393e-12       1.307928960580e-12 
  104       3.904780595798e-10       8.684479619135e-12       1.281735877512e-12 
  105       3.949324651959e-10       8.465387240128e-12       1.256362757093e-12 
  106       3.994118029953e-10       8.253694385191e-12       1.231772011376e-12 
  107       4.039151317906e-10       8.048985299170e-12       1.207917074636e-12 
  108       4.084413416360e-10       7.850763580635e-12       1.184742129120e-12 
  109       4.129891482123e-10       7.658449812562e-12       1.162181830793e-12 
  110       4.175573138653e-10       7.471511833448e-12       1.140176409678e-12 
  111       4.221453549220e-10       7.289879582396e-12       1.118719755658e-12 
  112       4.267529148071e-10       7.113579158194e-12       1.097817002000e-12 
  113       4.313795421317e-10       6.942603871280e-12       1.077469579147e-12 
  114       4.360246873049e-10       6.776913178026e-12       1.057675091571e-12 
  115       4.406876991457e-10       6.616431615022e-12       1.038427194623e-12 
  116       4.453678214949e-10       6.461047733351e-12       1.019715471384e-12 
  117       4.500641898272e-10       6.310613032878e-12       1.001525309522e-12 
  118       4.547758278629e-10       6.164940896525e-12       9.838377781406e-13 
  119       4.595016441800e-10       6.023805524558e-12       9.666295046315e-13 
  120       4.642404288260e-10       5.886940868861e-12       9.498725515276e-13 
  121       4.689908499299e-10       5.754039567226e-12       9.335342933549e-13 
  122       4.737514503140e-10       5.624751877629e-12       9.175772934846e-13 
  123       4.785208157958e-10       5.498760958313e-12       9.019676081843e-13 
  124       4.832981092028e-10       5.376020770643e-12       8.867010412874e-13 
  125       4.880825916068e-10       5.256543625813e-12       8.717796876727e-13 
  126       4.928734541126e-10       5.140325826756e-12       8.572037199610e-13 
  127       4.976698158210e-10       5.027347203103e-12       8.429713316715e-13 
  128       5.024707217914e-10       4.917570646135e-12       8.290786803773e-13 
  129       5.072751410045e-10       4.810941643744e-12       8.155198308614e-13 
  130       5.120819643250e-10       4.707387815387e-12       8.022866982727e-13 
  131       5.168900024646e-10       4.606818447042e-12       7.893689912820e-13 
  132       5.216979839446e-10       4.509124026168e-12       7.767541552375e-13 
  133       5.265045530584e-10       4.414175776657e-12       7.644273153211e-13 
  134       5.313082678347e-10       4.321825193793e-12       7.523712197041e-13 
  135       5.361075980000e-10       4.231903579207e-12       7.405661827032e-13 
  136       5.409009229413e-10       4.144221575836e-12       7.289900279363e-13 
  137       5.456866736907e-10       4.058609234834e-12       7.176232257593e-13 
  138       5.504637797738e-10       3.975041880066e-12       7.064650258960e-13 
  139       5.552312649537e-10       3.893526446860e-12       6.955188941922e-13 
  140       5.599881062446e-10       3.814061912824e-12       6.847874444692e-13 
  141       5.647332327894e-10       3.736639090063e-12       6.742724146491e-13 
  142       5.694655247362e-10       3.661240417399e-12       6.639746428795e-13 
  143       5.741838121154e-10       3.587839752599e-12       6.538940436586e-13 
  144       5.788868737163e-10       3.516402164584e-12       6.440295839602e-13 
  145       5.835734359641e-10       3.446883725660e-12       6.343792593587e-13 
  146       5.882421717971e-10       3.379231303733e-12       6.249400701540e-13 
  147       5.928916995429e-10       3.313382354530e-12       6.157079974967e-13 
  148       5.975205817960e-10       3.249264713822e-12       6.066779795128e-13 
  149       6.021273242942e-10       3.186796389641e-12       5.978438874291e-13 
  150       6.067103747957e-10       3.125885354504e-12       5.891985016977e-13 
  151       6.112681219557e-10       3.066429337632e-12       5.807334881214e-13 
  152       6.157988942039e-10       3.008315617169e-12       5.724393739785e-13 
  153       6.203010801718e-10       2.951444261608e-12       5.643074715101e-13 
  154       6.247735049353e-10       2.895800721826e-12       5.563358997768e-13 
  155       6.292150867611e-10       2.841389620790e-12       5.485240795407e-13 
  156       6.336247181974e-10       2.788211823085e-12       5.408708223615e-13 
  157       6.380012655707e-10       2.736264346554e-12       5.333743166394e-13 
  158       6.423435684812e-10       2.685540273949e-12       5.260321136575e-13 
  159       6.466504392991e-10       2.636028664578e-12       5.188411136252e-13 
  160       6.509206626603e-10       2.587714465944e-12       5.117975517207e-13 
  161       6.551529949622e-10       2.540578425400e-12       5.048969841337e-13 
  162       6.593461638600e-10       2.494597001787e-12       4.981342741084e-13 
  163       6.634988677624e-10       2.449742277087e-12       4.915035779863e-13 
  164       6.676097753276e-10       2.405981868063e-12       4.849983312488e-13 
  165       6.716775249591e-10       2.363278837912e-12       4.786112345603e-13 
  166       6.757007243020e-10       2.321591607903e-12       4.723342398108e-13 
  167       6.796779497383e-10       2.280873869029e-12       4.661585361587e-13 
  168       6.836077458837e-10       2.241074493652e-12       4.600745360738e-13 
  169       6.874886250826e-10       2.202137447148e-12       4.540718613799e-13 
  170       6.913190669047e-10       2.164001699552e-12       4.481393292976e-13 
  171       6.950976174312e-10       2.126613538089e-12       4.422674671308e-13 
  172       6.988231974595e-10       2.089964841783e-12       4.364563208373e-13 
  173       7.024948191504e-10       2.054057843776e-12       4.307082738313e-13 
  174       7.061114884551e-10       2.018892980240e-12       4.250255733333e-13 
  175       7.096722050181e-10       1.984468852614e-12       4.194103267296e-13 
  176       7.131759620802e-10       1.950782189845e-12       4.138644979318e-13 
