    2       1.419069590570e-10       4.349985499581e-15       3.543121405155e-13       2.164046226863e-19       8.121370134285e-09       4.765587707001e-10      -1.870910382965e-12 
    3       1.334494866675e-10       5.438369154356e-15       3.971559215529e-13       4.328908372243e-19       4.979359349347e-09       3.356408830147e-10      -1.396369958175e-12 
    4       1.257269663213e-10       4.573412704239e-15       3.693012129426e-13       7.216648232425e-19       3.446837415887e-09       2.530008922184e-10      -8.936513730269e-13 
    5       1.200103675757e-10       2.962065505821e-15       3.122539144121e-13       1.082831995731e-18       2.563893909803e-09       1.991740174365e-10      -4.777745574054e-13 
    6       1.160846148955e-10       1.618656330352e-15       2.495136953671e-13       1.516521270969e-18       1.997004970555e-09       1.616399138712e-10      -1.786321158511e-13 
    7       1.135477796774e-10       8.767018875063e-16       1.945100002341e-13       2.022883252598e-18       1.607130770359e-09       1.341954009880e-10       5.189820628274e-15 
    8       1.120167242031e-10       5.811350683907e-16       1.528984402225e-13       2.602088139948e-18       1.325396100550e-09       1.134318880806e-10       9.225887236890e-14 
    9       1.112673965701e-10       4.709360421191e-16       1.256264888072e-13       3.254323401734e-18       1.113980564028e-09       9.733629450066e-11       1.093310425707e-13 
   10       1.110867848836e-10       3.967029093431e-16       1.110062470508e-13       3.979791262699e-18       9.505942138860e-10       8.459633321986e-11       8.477673753900e-14 
   11       1.113065912596e-10       3.313354386442e-16       1.061499354213e-13       4.778706054278e-18       8.138583224719e-10       7.506268949262e-11       4.397259219733e-14 
   12       1.119060571184e-10       2.920480006112e-16       1.078649241428e-13       5.651291482492e-18       7.110318066857e-10       6.635766560283e-11       4.287636296807e-15 
   13       1.127438341194e-10       2.843625774331e-16       1.133702432851e-13       6.597777867327e-18       6.266126693888e-10       5.925397470760e-11      -2.331091025759e-14 
   14       1.137521225094e-10       2.972921696946e-16       1.207095546818e-13       7.618399407477e-18       5.563742377283e-10       5.304860060188e-11      -3.600921072688e-14 
   15       1.149844246031e-10       3.211277260543e-16       1.287090140909e-13       8.713391522789e-18       4.972548645211e-10       4.783178770608e-11      -3.542816170441e-14 
   16       1.163345903134e-10       3.565370165007e-16       1.368232143888e-13       9.882988323896e-18       4.469893062802e-10       4.337219849330e-11      -2.654104147691e-14 
   17       1.178151947303e-10       4.095920904199e-16       1.450028016254e-13       1.112742025453e-17       4.038700138791e-10       3.951665420743e-11      -1.496262034664e-14 
   18       1.193923481682e-10       4.837886549567e-16       1.534650209600e-13       1.244691188957e-17       3.664498119435e-10       3.610288613576e-11      -5.507468277933e-15 
   19       1.210667588796e-10       5.785577704210e-16       1.624248371098e-13       1.384168032485e-17       3.341226730896e-10       3.309675350145e-11      -1.743398347841e-16 
   20       1.228047205518e-10       6.915636894279e-16       1.720301769612e-13       1.531193290085e-17       3.056551590532e-10       3.044191499458e-11       2.473962305102e-16 
   21       1.246133644083e-10       8.224949871135e-16       1.821535972777e-13       1.685786685212e-17       2.805983394961e-10       2.811059425986e-11      -3.053804750989e-15 
   22       1.264830014265e-10       9.713760743745e-16       1.924976960724e-13       1.847966700321e-17       2.583477870217e-10       2.604418193874e-11      -7.835852072293e-15 
   23       1.284213452225e-10       1.138090579914e-15       2.027125953318e-13       2.017750688611e-17       2.386047944235e-10       2.420661459911e-11      -1.235849568356e-14 
   24       1.304185834632e-10       1.322439752465e-15       2.123922473050e-13       2.195154603761e-17       2.209178155420e-10       2.254450765276e-11      -1.504386352063e-14 
   25       1.324668949577e-10       1.525152397930e-15       2.212500210109e-13       2.380193176659e-17       2.050462980086e-10       2.102847143930e-11      -1.559684418025e-14 
   26       1.345469333504e-10       1.747374052695e-15       2.290569192086e-13       2.572879728426e-17       1.906790132068e-10       1.962669687938e-11      -1.428238533847e-14 
   27       1.366711978828e-10       1.990756075245e-15       2.357863663632e-13       2.773226747495e-17       1.777410106247e-10       1.834567613848e-11      -1.175805549378e-14 
   28       1.388474541697e-10       2.257282604687e-15       2.415090069425e-13       2.981245271119e-17       1.660750465815e-10       1.719325504773e-11      -9.019259008392e-15 
   29       1.410686354118e-10       2.548957302993e-15       2.463251277691e-13       3.196944901989e-17       1.553973110543e-10       1.616367351464e-11      -7.125310681618e-15 
   30       1.433353734205e-10       2.866928118631e-15       2.502776113203e-13       3.420334941736e-17       1.456485914802e-10       1.524219577121e-11      -6.277801184615e-15 
   31       1.456385107106e-10       3.212007593949e-15       2.534082326228e-13       3.651423547956e-17       1.367562114185e-10       1.439933301415e-11      -6.378741703601e-15 
   32       1.479599249208e-10       3.584925100219e-15       2.557400291497e-13       3.890217688505e-17       1.285791239586e-10       1.359991913353e-11      -7.229655687497e-15 
   33       1.503029466179e-10       3.986473381478e-15       2.571328349008e-13       4.136724289481e-17       1.210725537351e-10       1.284510934326e-11      -8.431600733112e-15 
   34       1.526708325460e-10       4.417401303586e-15       2.573713279495e-13       4.390949415002e-17       1.141697954483e-10       1.214462580961e-11      -9.432999535005e-15 
   35       1.550617598295e-10       4.878419637257e-15       2.562423826055e-13       4.652898295550e-17       1.077678482900e-10       1.150437681568e-11      -9.705652265761e-15 
   36       1.574826972064e-10       5.370378473560e-15       2.536833522292e-13       4.922576618516e-17       1.018499369709e-10       1.092268811135e-11      -9.297506017057e-15 
   37       1.599388972748e-10       5.894144103248e-15       2.496843426049e-13       5.199989645335e-17       9.639737388584e-11       1.039203839054e-11      -8.471216686200e-15 
   38       1.624293025573e-10       6.450548799684e-15       2.442501619041e-13       5.485141855844e-17       9.135252257992e-11       9.899459585706e-12      -7.564477919995e-15 
   39       1.649489537713e-10       7.040389314697e-15       2.373962157562e-13       5.778037233265e-17       8.663954573167e-11       9.430644016348e-12      -6.911199540531e-15 
   40       1.674989554133e-10       7.664427893605e-15       2.291321721892e-13       6.078680262417e-17       8.224389621003e-11       8.985090169708e-12      -6.559857939592e-15 
   41       1.700787017570e-10       8.323387376889e-15       2.194743348475e-13       6.387075253753e-17       7.815391813851e-11       8.565337053869e-12      -6.467952910549e-15 
   42       1.726825648807e-10       9.017947789252e-15       2.084507952295e-13       6.703226088505e-17       7.433713137028e-11       8.172716041143e-12      -6.576709631928e-15 
   43       1.753031754884e-10       9.748743339958e-15       1.960820139571e-13       7.027136238019e-17       7.075221611341e-11       7.807388472005e-12      -6.819625751318e-15 
   44       1.779436390235e-10       1.051635816423e-14       1.823139656892e-13       7.358808800843e-17       6.739357585820e-11       7.468758089315e-12      -7.154003665415e-15 
   45       1.806083094670e-10       1.132132508576e-14       1.670651186072e-13       7.698246497203e-17       6.425772109046e-11       7.154983980059e-12      -7.537324475100e-15 
   46       1.832991138492e-10       1.216412359718e-14       1.502439458607e-13       8.045451674489e-17       6.132989104090e-11       6.862726366198e-12      -7.917900622961e-15 
   47       1.860153051417e-10       1.304517735741e-14       1.317482361653e-13       8.400426319582e-17       5.858317539800e-11       6.587036214107e-12      -8.234347717047e-15 
   48       1.887549435654e-10       1.396483160798e-14       1.114837221222e-13       8.763171816621e-17       5.598678262240e-11       6.322777729457e-12      -8.433984296599e-15 
   49       1.915204108680e-10       1.492328373323e-14       8.942778322017e-14       9.133688110840e-17       5.353565033152e-11       6.069627584805e-12      -8.535396795745e-15 
   50       1.943140258952e-10       1.592062882614e-14       6.558251545971e-14       9.511974330190e-17       5.122767272388e-11       5.828295249664e-12      -8.582603410882e-15 
   51       1.971362968780e-10       1.695687462011e-14       3.995727035710e-14       9.898029018648e-17       4.905488123735e-11       5.599081752965e-12      -8.628092736706e-15 
   52       1.999857625093e-10       1.803193796182e-14       1.256895114041e-14       1.029185013555e-16       4.700303292540e-11       5.381847500933e-12      -8.733261301279e-15 
   53       2.028603053385e-10       1.914573083678e-14      -1.656679211578e-14       1.069343483000e-16       4.505607210863e-11       5.176186478510e-12      -8.951474820043e-15 
   54       2.057618542731e-10       2.029845253503e-14      -4.746531696802e-14       1.110277869767e-16       4.321180975469e-11       4.982075522351e-12      -9.271131217937e-15 
   55       2.086926143115e-10       2.149036646644e-14      -8.015036905074e-14       1.151987633169e-16       4.146955853744e-11       4.799335914895e-12      -9.658719231237e-15 
   56       2.116536050668e-10       2.272171740668e-14      -1.146457342079e-13       1.194472152098e-16       3.982540984579e-11       4.627418615540e-12      -1.007462866928e-14 
   57       2.146445635762e-10       2.399273172490e-14      -1.509753238931e-13       1.237730724019e-16       3.827202649012e-11       4.465380731917e-12      -1.047285938429e-14 
   58       2.176638471102e-10       2.530361761141e-14      -1.891632605694e-13       1.281762563950e-16       3.679843540866e-11       4.311861991165e-12      -1.080073024122e-14 
   59       2.207094406608e-10       2.665443456853e-14      -2.292268506579e-13       1.326566838308e-16       3.539304175051e-11       4.165442236377e-12      -1.101139537515e-14 
   60       2.237824733607e-10       2.804466597380e-14      -2.711534037819e-13       1.372142777868e-16       3.405395930560e-11       4.025864302237e-12      -1.110544818661e-14 
   61       2.268843483618e-10       2.947354747917e-14      -3.149181716263e-13       1.418489589297e-16       3.278071700975e-11       3.893054048549e-12      -1.109848184885e-14 
   62       2.300156514338e-10       3.094018490191e-14      -3.604908345442e-13       1.465606422780e-16       3.157115241210e-11       3.766753908845e-12      -1.100927171884e-14 
   63       2.331760912205e-10       3.244355002048e-14      -4.078353458569e-13       1.513492372195e-16       3.042131358071e-11       3.646512277779e-12      -1.085991845247e-14 
   64       2.363644394956e-10       3.398247637051e-14      -4.569097761539e-13       1.562146475280e-16       2.932536100817e-11       3.531672898499e-12      -1.067599111966e-14 
   65       2.395793656449e-10       3.555580976861e-14      -5.076748887458e-13       1.611567839328e-16       2.827717471832e-11       3.421555261214e-12      -1.048174518682e-14 
   66       2.428222797170e-10       3.716290637910e-14      -5.601223266313e-13       1.661756048806e-16       2.727579151700e-11       3.316064042231e-12      -1.028427789312e-14 
